[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9cZnq42EufK/video.m3u8
[अधिगम] - Part-12 || अधिगम || 02-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4eceg7edZPB/video.m3u8
[अधिगम] - Part-13 || अधिगम || 03-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3sRtktf5NXp/video.m3u8
[अधिगम] - Part-14 || अधिगम || 08-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6jZZX858UNB/video.m3u8
[अधिगम] - Part-15 || अधिगम || 09-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8bqSFdkQbqU/video.m3u8
[विकास] - Part-1 || विकास || 16-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Az4ty4NaGgn/video.m3u8
[विकास] - Part-2 || विकास || 17-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/83JU2gaz9m4/video.m3u8
[विकास] - Part-3 || विकास || 18-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2571358/utk-12/1747539508/index.m3u8
[विकास] - Part-4 || विकास || 19-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2572324/utk-45/1747625627/index.m3u8
[विकास] - Part-5 || विकास || 20-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7QAhKFDyr22/video.m3u8
[विकास] - Part-6 || विकास || 21-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9GRZKMHTp7a/video.m3u8
[विकास] - Part-7 || विकास || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5gRm4jHCHyc/video.m3u8
[विकास] - Part-8 || विकास || 23-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BZZcSaYpBPs/video.m3u8
[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा  और प्राचीन सभ्यताएं || 24-March : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2498605/utk-7/1742804264/index.m3u8
[कालीबंगा] - Part-1 || कालीबंगा || 25-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BrRtfaG6PfT/video.m3u8
[कालीबंगा] - Part-2 || कालीबंगा || 26-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BHsfNEPRkRy/video.m3u8
